,transactions,top_100_percent,active_addresses,median_transaction_value,sent_addresses,difficulty,block_size,hashrate,mining_profitability,date,tweets,send_usd,av_transaction_size,fee_reward,confirmation_time,google_trends,median_transaction_size,av_transaction_value,market_cap,full_name,coin
233,,,,,,,,,,2014/11/28,18,,,,,,,,525223,unobtanium,unobtanium
234,,,,,,,,,,2014/11/29,3,,,,,,,,532431,unobtanium,unobtanium
235,,,,,,,,,,2014/11/30,null,,,,,,,,null,unobtanium,unobtanium
236,,,,,,,,,,2014/12/01,4,,,,,,,,526956,unobtanium,unobtanium
237,,,,,,,,,,2014/12/02,8,,,,,,,,521752,unobtanium,unobtanium
238,,,,,,,,,,2014/12/03,5,,,,,,,,525531,unobtanium,unobtanium
239,,,,,,,,,,2014/12/04,8,,,,,,,,526799,unobtanium,unobtanium
240,,,,,,,,,,2014/12/05,10,,,,,,,,525246,unobtanium,unobtanium
241,,,,,,,,,,2014/12/06,2,,,,,,,,533733,unobtanium,unobtanium
242,,,,,,,,,,2014/12/07,6,,,,,,,,512074,unobtanium,unobtanium
243,,,,,,,,,,2014/12/08,7,,,,,,,,486578,unobtanium,unobtanium
244,,,,,,,,,,2014/12/09,7,,,,,,,,455461,unobtanium,unobtanium
245,,,,,,,,,,2014/12/10,14,,,,,,,,448205,unobtanium,unobtanium
246,,,,,,,,,,2014/12/11,12,,,,,,,,456755,unobtanium,unobtanium
247,,,,,,,,,,2014/12/12,10,,,,,,,,461628,unobtanium,unobtanium
248,,,,,,,,,,2014/12/13,6,,,,,,,,431978,unobtanium,unobtanium
249,,,,,,,,,,2014/12/14,12,,,,,,,,454988,unobtanium,unobtanium
250,,,,,,,,,,2014/12/15,11,,,,,,,,411233,unobtanium,unobtanium
251,,,,,,,,,,2014/12/16,6,,,,,,,,401293,unobtanium,unobtanium
252,,,,,,,,,,2014/12/17,2,,,,,,,,375428,unobtanium,unobtanium
253,,,,,,,,,,2014/12/18,11,,,,,,,,368044,unobtanium,unobtanium
254,,,,,,,,,,2014/12/19,11,,,,,,,,375370,unobtanium,unobtanium
255,,,,,,,,,,2014/12/20,5,,,,,,,,408869,unobtanium,unobtanium
256,,,,,,,,,,2014/12/21,10,,,,,,,,405423,unobtanium,unobtanium
257,,,,,,,,,,2014/12/22,3,,,,,,,,390261,unobtanium,unobtanium
258,,,,,,,,,,2014/12/23,13,,,,,,,,400394,unobtanium,unobtanium
259,,,,,,,,,,2014/12/24,5,,,,,,,,382315,unobtanium,unobtanium
260,,,,,,,,,,2014/12/25,5,,,,,,,,372245,unobtanium,unobtanium
261,,,,,,,,,,2014/12/26,5,,,,,,,,352977,unobtanium,unobtanium
262,,,,,,,,,,2014/12/27,6,,,,,,,,340819,unobtanium,unobtanium
263,,,,,,,,,,2014/12/28,8,,,,,,,,345600,unobtanium,unobtanium
264,,,,,,,,,,2014/12/29,4,,,,,,,,334075,unobtanium,unobtanium
265,,,,,,,,,,2014/12/30,4,,,,,,,,322757,unobtanium,unobtanium
266,,,,,,,,,,2014/12/31,3,,,,,,,,356831,unobtanium,unobtanium
267,,,,,,,,,,2015/01/01,3,,,,,,,,350707,unobtanium,unobtanium
268,,,,,,,,,,2015/01/02,1,,,,,,,,373843,unobtanium,unobtanium
269,,,,,,,,,,2015/01/03,null,,,,,,,,379193,unobtanium,unobtanium
270,,,,,,,,,,2015/01/04,4,,,,,,,,391048,unobtanium,unobtanium
271,,,,,,,,,,2015/01/05,11,,,,,,,,392584,unobtanium,unobtanium
272,,,,,,,,,,2015/01/06,13,,,,,,,,412062,unobtanium,unobtanium
273,,,,,,,,,,2015/01/07,15,,,,,,,,428207,unobtanium,unobtanium
274,,,,,,,,,,2015/01/08,5,,,,,,,,438020,unobtanium,unobtanium
275,,,,,,,,,,2015/01/09,11,,,,,,,,437480,unobtanium,unobtanium
276,,,,,,,,,,2015/01/10,4,,,,,,,,443416,unobtanium,unobtanium
277,,,,,,,,,,2015/01/11,15,,,,,,,,474605,unobtanium,unobtanium
278,,,,,,,,,,2015/01/12,10,,,,,,,,467183,unobtanium,unobtanium
279,,,,,,,,,,2015/01/13,14,,,,,,,,420275,unobtanium,unobtanium
280,,,,,,,,,,2015/01/14,8,,,,,,,,339466,unobtanium,unobtanium
281,,,,,,,,,,2015/01/15,9,,,,,,,,353070,unobtanium,unobtanium
282,,,,,,,,,,2015/01/16,6,,,,,,,,359674,unobtanium,unobtanium
283,,,,,,,,,,2015/01/17,1,,,,,,,,334539,unobtanium,unobtanium
284,,,,,,,,,,2015/01/18,1,,,,,,,,339712,unobtanium,unobtanium
285,,,,,,,,,,2015/01/19,4,,,,,,,,381755,unobtanium,unobtanium
286,,,,,,,,,,2015/01/20,25,,,,,,,,390618,unobtanium,unobtanium
287,,,,,,,,,,2015/01/21,8,,,,,,,,387493,unobtanium,unobtanium
288,,,,,,,,,,2015/01/22,12,,,,,,,,430232,unobtanium,unobtanium
289,,,,,,,,,,2015/01/23,5,,,,,,,,433195,unobtanium,unobtanium
290,,,,,,,,,,2015/01/24,22,,,,,,,,472213,unobtanium,unobtanium
291,,,,,,,,,,2015/01/25,15,,,,,,,,532849,unobtanium,unobtanium
292,,,,,,,,,,2015/01/26,16,,,,,,,,545613,unobtanium,unobtanium
293,,,,,,,,,,2015/01/27,5,,,,,,,,514159,unobtanium,unobtanium
294,,,,,,,,,,2015/01/28,6,,,,,,,,471444,unobtanium,unobtanium
295,,,,,,,,,,2015/01/29,11,,,,,,,,451737,unobtanium,unobtanium
296,,,,,,,,,,2015/01/30,8,,,,,,,,484511,unobtanium,unobtanium
297,,,,,,,,,,2015/01/31,21,,,,,,,,517611,unobtanium,unobtanium
298,,,,,,,,,,2015/02/01,9,,,,,,,,537058,unobtanium,unobtanium
299,,,,,,,,,,2015/02/02,4,,,,,,,,561148,unobtanium,unobtanium
300,,,,,,,,,,2015/02/03,11,,,,,,,,572810,unobtanium,unobtanium
301,,,,,,,,,,2015/02/04,11,,,,,,,,572087,unobtanium,unobtanium
302,,,,,,,,,,2015/02/05,5,,,,,,,,581345,unobtanium,unobtanium
303,,,,,,,,,,2015/02/06,7,,,,,,,,618825,unobtanium,unobtanium
304,,,,,,,,,,2015/02/07,5,,,,,,,,718409,unobtanium,unobtanium
305,,,,,,,,,,2015/02/08,32,,,,,,,,852541,unobtanium,unobtanium
306,,,,,,,,,,2015/02/09,24,,,,,,,,1051129,unobtanium,unobtanium
307,,,,,,,,,,2015/02/10,13,,,,,,,,743497,unobtanium,unobtanium
308,,,,,,,,,,2015/02/11,7,,,,,,,,785390,unobtanium,unobtanium
309,,,,,,,,,,2015/02/12,6,,,,,,,,811278,unobtanium,unobtanium
310,,,,,,,,,,2015/02/13,21,,,,,,,,730757,unobtanium,unobtanium
311,,,,,,,,,,2015/02/14,9,,,,,,,,626773,unobtanium,unobtanium
312,,,,,,,,,,2015/02/15,null,,,,,,,,570504,unobtanium,unobtanium
313,,,,,,,,,,2015/02/16,2,,,,,,,,519570,unobtanium,unobtanium
314,,,,,,,,,,2015/02/17,4,,,,,,,,662307,unobtanium,unobtanium
315,,,,,,,,,,2015/02/18,null,,,,,,,,576618,unobtanium,unobtanium
316,,,,,,,,,,2015/02/19,4,,,,,,,,648215,unobtanium,unobtanium
317,,,,,,,,,,2015/02/20,28,,,,,,,,null,unobtanium,unobtanium
318,,,,,,,,,,2015/02/21,9,,,,,,,,null,unobtanium,unobtanium
