,date,transactions,block_size,active_addresses,av_transaction_size,confirmation_time,difficulty,sent_addresses,median_transaction_size,median_transaction_value,av_transaction_value,send_usd,google_trends,hashrate,fee_reward,top_100_percent,mining_profitability,market_cap,tweets,full_name,coin
261,2009/09/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
340,2009/12/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
341,2009/12/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
342,2009/12/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
343,2009/12/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
344,2009/12/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
345,2009/12/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
346,2009/12/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
347,2009/12/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
348,2009/12/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
349,2009/12/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
350,2009/12/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
351,2009/12/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
352,2009/12/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
353,2009/12/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
354,2009/12/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
355,2009/12/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
356,2009/12/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
357,2009/12/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
358,2009/12/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
359,2009/12/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
360,2009/12/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
361,2009/12/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
