,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
222,2009/08/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
