,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
245,,,2009/09/05,,,,,,,,,,,,,,,,,namecoin,nmc
246,,,2009/09/06,,,,,,,,,,,,,,,,,namecoin,nmc
247,,,2009/09/07,,,,,,,,,,,,,,,,,namecoin,nmc
248,,,2009/09/08,,,,,,,,,,,,,,,,,namecoin,nmc
249,,,2009/09/09,,,,,,,,,,,,,,,,,namecoin,nmc
250,,,2009/09/10,,,,,,,,,,,,,,,,,namecoin,nmc
251,,,2009/09/11,,,,,,,,,,,,,,,,,namecoin,nmc
252,,,2009/09/12,,,,,,,,,,,,,,,,,namecoin,nmc
253,,,2009/09/13,,,,,,,,,,,,,,,,,namecoin,nmc
254,,,2009/09/14,,,,,,,,,,,,,,,,,namecoin,nmc
255,,,2009/09/15,,,,,,,,,,,,,,,,,namecoin,nmc
256,,,2009/09/16,,,,,,,,,,,,,,,,,namecoin,nmc
257,,,2009/09/17,,,,,,,,,,,,,,,,,namecoin,nmc
258,,,2009/09/18,,,,,,,,,,,,,,,,,namecoin,nmc
259,,,2009/09/19,,,,,,,,,,,,,,,,,namecoin,nmc
260,,,2009/09/20,,,,,,,,,,,,,,,,,namecoin,nmc
261,,,2009/09/21,,,,,,,,,,,,,,,,,namecoin,nmc
262,,,2009/09/22,,,,,,,,,,,,,,,,,namecoin,nmc
263,,,2009/09/23,,,,,,,,,,,,,,,,,namecoin,nmc
264,,,2009/09/24,,,,,,,,,,,,,,,,,namecoin,nmc
265,,,2009/09/25,,,,,,,,,,,,,,,,,namecoin,nmc
266,,,2009/09/26,,,,,,,,,,,,,,,,,namecoin,nmc
267,,,2009/09/27,,,,,,,,,,,,,,,,,namecoin,nmc
268,,,2009/09/28,,,,,,,,,,,,,,,,,namecoin,nmc
269,,,2009/09/29,,,,,,,,,,,,,,,,,namecoin,nmc
270,,,2009/09/30,,,,,,,,,,,,,,,,,namecoin,nmc
271,,,2009/10/01,,,,,,,,,,,,,,,,,namecoin,nmc
272,,,2009/10/02,,,,,,,,,,,,,,,,,namecoin,nmc
273,,,2009/10/03,,,,,,,,,,,,,,,,,namecoin,nmc
274,,,2009/10/04,,,,,,,,,,,,,,,,,namecoin,nmc
275,,,2009/10/05,,,,,,,,,,,,,,,,,namecoin,nmc
276,,,2009/10/06,,,,,,,,,,,,,,,,,namecoin,nmc
277,,,2009/10/07,,,,,,,,,,,,,,,,,namecoin,nmc
278,,,2009/10/08,,,,,,,,,,,,,,,,,namecoin,nmc
279,,,2009/10/09,,,,,,,,,,,,,,,,,namecoin,nmc
280,,,2009/10/10,,,,,,,,,,,,,,,,,namecoin,nmc
281,,,2009/10/11,,,,,,,,,,,,,,,,,namecoin,nmc
282,,,2009/10/12,,,,,,,,,,,,,,,,,namecoin,nmc
283,,,2009/10/13,,,,,,,,,,,,,,,,,namecoin,nmc
284,,,2009/10/14,,,,,,,,,,,,,,,,,namecoin,nmc
285,,,2009/10/15,,,,,,,,,,,,,,,,,namecoin,nmc
286,,,2009/10/16,,,,,,,,,,,,,,,,,namecoin,nmc
287,,,2009/10/17,,,,,,,,,,,,,,,,,namecoin,nmc
288,,,2009/10/18,,,,,,,,,,,,,,,,,namecoin,nmc
289,,,2009/10/19,,,,,,,,,,,,,,,,,namecoin,nmc
290,,,2009/10/20,,,,,,,,,,,,,,,,,namecoin,nmc
291,,,2009/10/21,,,,,,,,,,,,,,,,,namecoin,nmc
292,,,2009/10/22,,,,,,,,,,,,,,,,,namecoin,nmc
