,date,active_addresses,sent_addresses,block_size,transactions,median_transaction_size,mining_profitability,google_trends,difficulty,send_usd,hashrate,fee_reward,av_transaction_value,top_100_percent,median_transaction_value,av_transaction_size,market_cap,tweets,confirmation_time,full_name,coin
138,2009/05/21,82nullnull,15nullnull,134.963nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
139,2009/05/22,61nullnull,10nullnull,134.967nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
140,2009/05/23,32nullnull,4nullnull,134.938nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
141,2009/05/24,100nullnull,24nullnull,134.9nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
142,2009/05/25,109nullnull,19nullnull,134.954nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
143,2009/05/26,125nullnull,38nullnull,134.904nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
144,2009/05/27,119nullnull,37nullnull,134.731nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
145,2009/05/28,95nullnull,16nullnull,134.884nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
146,2009/05/29,167nullnull,21nullnull,199.84nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
147,2009/05/30,109nullnull,20nullnull,134.716nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
148,2009/05/31,96nullnull,24nullnull,135nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
149,2009/06/01,73nullnull,15nullnull,138.831nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
150,2009/06/02,111nullnull,15nullnull,134.91nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
151,2009/06/03,71nullnull,9nullnull,135nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
152,2009/06/04,66nullnull,5nullnull,134.939nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
153,2009/06/05,30nullnull,5nullnull,134.9nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
154,2009/06/06,28nullnull,1nullnull,134.286nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
155,2009/06/07,16nullnull,3nullnull,134.938nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
156,2009/06/08,82nullnull,25nullnull,134.768nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
157,2009/06/09,91nullnull,25nullnull,134.802nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
158,2009/06/10,82nullnull,23nullnull,134.927nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
159,2009/06/11,89nullnull,22nullnull,134.966nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
160,2009/06/12,86nullnull,23nullnull,134.86nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
161,2009/06/13,78nullnull,23nullnull,134.449nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
162,2009/06/14,72nullnull,34nullnull,134.694nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
163,2009/06/15,84nullnull,26nullnull,134.952nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
164,2009/06/16,71nullnull,12nullnull,134.732nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
165,2009/06/17,79nullnull,19nullnull,134.646nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
166,2009/06/18,80nullnull,22nullnull,134.813nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
167,2009/06/19,87nullnull,33nullnull,134.678nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
168,2009/06/20,78nullnull,23nullnull,134.769nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
169,2009/06/21,81nullnull,25nullnull,134.765nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
