,date,transactions,sent_addresses,mining_profitability,send_usd,median_transaction_size,active_addresses,difficulty,hashrate,fee_reward,block_size,market_cap,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,tweets,top_100_percent,google_trends,full_name,coin
263,2009/09/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
