,date,block_size,av_transaction_size,av_transaction_value,market_cap,top_100_percent,confirmation_time,fee_reward,tweets,median_transaction_value,sent_addresses,hashrate,mining_profitability,transactions,google_trends,active_addresses,difficulty,send_usd,median_transaction_size,full_name,coin
300,2009/10/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
340,2009/12/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
341,2009/12/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
342,2009/12/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
343,2009/12/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
344,2009/12/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
345,2009/12/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
346,2009/12/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
347,2009/12/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
348,2009/12/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
349,2009/12/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
350,2009/12/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
351,2009/12/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
352,2009/12/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
353,2009/12/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
354,2009/12/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
355,2009/12/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
356,2009/12/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
357,2009/12/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
358,2009/12/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
359,2009/12/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
360,2009/12/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
361,2009/12/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
