,block_size,active_addresses,transactions,sent_addresses,fee_reward,difficulty,hashrate,send_usd,mining_profitability,median_transaction_size,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,google_trends,top_100_percent,date,tweets,market_cap,full_name,coin
240,,,,,,,,,,,,,,,,,2015/01/07,1,,siacoin,siacoin
241,,,,,,,,,,,,,,,,,2015/01/08,null,,siacoin,siacoin
242,,,,,,,,,,,,,,,,,2015/01/09,null,,siacoin,siacoin
243,,,,,,,,,,,,,,,,,2015/01/10,null,,siacoin,siacoin
244,,,,,,,,,,,,,,,,,2015/01/11,null,,siacoin,siacoin
245,,,,,,,,,,,,,,,,,2015/01/12,null,,siacoin,siacoin
246,,,,,,,,,,,,,,,,,2015/01/13,1,,siacoin,siacoin
247,,,,,,,,,,,,,,,,,2015/01/14,1,,siacoin,siacoin
248,,,,,,,,,,,,,,,,,2015/01/15,1,,siacoin,siacoin
249,,,,,,,,,,,,,,,,,2015/01/16,null,,siacoin,siacoin
250,,,,,,,,,,,,,,,,,2015/01/17,null,,siacoin,siacoin
251,,,,,,,,,,,,,,,,,2015/01/18,null,,siacoin,siacoin
252,,,,,,,,,,,,,,,,,2015/01/19,null,,siacoin,siacoin
253,,,,,,,,,,,,,,,,,2015/01/20,null,,siacoin,siacoin
254,,,,,,,,,,,,,,,,,2015/01/21,null,,siacoin,siacoin
255,,,,,,,,,,,,,,,,,2015/01/22,null,,siacoin,siacoin
256,,,,,,,,,,,,,,,,,2015/01/23,null,,siacoin,siacoin
257,,,,,,,,,,,,,,,,,2015/01/24,null,,siacoin,siacoin
258,,,,,,,,,,,,,,,,,2015/01/25,null,,siacoin,siacoin
259,,,,,,,,,,,,,,,,,2015/01/26,null,,siacoin,siacoin
260,,,,,,,,,,,,,,,,,2015/01/27,null,,siacoin,siacoin
261,,,,,,,,,,,,,,,,,2015/01/28,null,,siacoin,siacoin
262,,,,,,,,,,,,,,,,,2015/01/29,null,,siacoin,siacoin
263,,,,,,,,,,,,,,,,,2015/01/30,null,,siacoin,siacoin
264,,,,,,,,,,,,,,,,,2015/01/31,null,,siacoin,siacoin
265,,,,,,,,,,,,,,,,,2015/02/01,null,,siacoin,siacoin
266,,,,,,,,,,,,,,,,,2015/02/02,null,,siacoin,siacoin
267,,,,,,,,,,,,,,,,,2015/02/03,null,,siacoin,siacoin
268,,,,,,,,,,,,,,,,,2015/02/04,null,,siacoin,siacoin
269,,,,,,,,,,,,,,,,,2015/02/05,null,,siacoin,siacoin
270,,,,,,,,,,,,,,,,,2015/02/06,null,,siacoin,siacoin
271,,,,,,,,,,,,,,,,,2015/02/07,null,,siacoin,siacoin
272,,,,,,,,,,,,,,,,,2015/02/08,null,,siacoin,siacoin
273,,,,,,,,,,,,,,,,,2015/02/09,null,,siacoin,siacoin
274,,,,,,,,,,,,,,,,,2015/02/10,null,,siacoin,siacoin
275,,,,,,,,,,,,,,,,,2015/02/11,null,,siacoin,siacoin
276,,,,,,,,,,,,,,,,,2015/02/12,null,,siacoin,siacoin
277,,,,,,,,,,,,,,,,,2015/02/13,null,,siacoin,siacoin
278,,,,,,,,,,,,,,,,,2015/02/14,null,,siacoin,siacoin
279,,,,,,,,,,,,,,,,,2015/02/15,null,,siacoin,siacoin
280,,,,,,,,,,,,,,,,,2015/02/16,null,,siacoin,siacoin
281,,,,,,,,,,,,,,,,,2015/02/17,null,,siacoin,siacoin
