,date,send_usd,sent_addresses,difficulty,active_addresses,fee_reward,median_transaction_size,transactions,market_cap,av_transaction_value,mining_profitability,block_size,av_transaction_size,top_100_percent,confirmation_time,tweets,google_trends,hashrate,median_transaction_value,full_name,coin
118,2010/11/12,8374nullnull,271nullnull,4536nullnull,456nullnull,,,117nullnull,1133761nullnull,29.278nullnull,,386.84nullnull,,,,,,,,novacoin,nvc
119,2010/11/13,10727nullnull,334nullnull,4536nullnull,579nullnull,,,120nullnull,1286441nullnull,31.274nullnull,,364.704nullnull,,,,,,,,novacoin,nvc
120,2010/11/14,9828nullnull,400nullnull,4536nullnull,901nullnull,,,160nullnull,1271347nullnull,23.626nullnull,,479.965nullnull,,,,,,,,novacoin,nvc
121,2010/11/15,71685nullnull,4121nullnull,4536nullnull,4396nullnull,,,4671nullnull,1256983nullnull,14.717nullnull,,8706nullnull,,,,,,,,novacoin,nvc
122,2010/11/16,92863nullnull,3006nullnull,4536nullnull,3365nullnull,,,8908nullnull,1130948nullnull,10.199nullnull,,10873nullnull,,,,,,,,novacoin,nvc
123,2010/11/17,14059nullnull,453nullnull,4536nullnull,675nullnull,,,188nullnull,1044784nullnull,32.319nullnull,,424nullnull,,,,,,,,novacoin,nvc
124,2010/11/18,14574nullnull,412nullnull,4917nullnull,632nullnull,,,1237nullnull,1133163nullnull,9.755nullnull,,1294nullnull,,,,,,,,novacoin,nvc
125,2010/11/19,14913nullnull,357nullnull,6867nullnull,641nullnull,,,9482nullnull,1271768nullnull,1.548nullnull,,14500nullnull,,,,,,,,novacoin,nvc
126,2010/11/20,44788nullnull,610nullnull,6867nullnull,784nullnull,,,9615nullnull,1307999nullnull,4.603nullnull,,18970nullnull,,,,,,,,novacoin,nvc
127,2010/11/21,34853nullnull,528nullnull,6867nullnull,758nullnull,,,9904nullnull,1286487nullnull,3.47nullnull,,16354nullnull,,,,,,,,novacoin,nvc
128,2010/11/22,8797nullnull,370nullnull,6867nullnull,624nullnull,,,180nullnull,1305266nullnull,25.649nullnull,,546.804nullnull,,,,,,,,novacoin,nvc
129,2010/11/23,12053nullnull,369nullnull,6867nullnull,660nullnull,,,201nullnull,1319591nullnull,35.347nullnull,,672.486nullnull,,,,,,,,novacoin,nvc
130,2010/11/24,10925nullnull,544nullnull,6867nullnull,963nullnull,,,3759nullnull,1322715nullnull,2.776nullnull,,5420nullnull,,,,,,,,novacoin,nvc
131,2010/11/25,14232nullnull,611nullnull,6867nullnull,912nullnull,,,4802nullnull,1317164nullnull,2.856nullnull,,9437nullnull,,,,,,,,novacoin,nvc
132,2010/11/26,25101nullnull,870nullnull,6867nullnull,1197nullnull,,,1120nullnull,1321797nullnull,19.103nullnull,,1833nullnull,,,,,,,,novacoin,nvc
133,2010/11/27,6888nullnull,474nullnull,6867nullnull,822nullnull,,,265nullnull,1333957nullnull,15.479nullnull,,664.289nullnull,,,,,,,,novacoin,nvc
134,2010/11/28,6714nullnull,480nullnull,6867nullnull,706nullnull,,,282nullnull,1302591nullnull,14.789nullnull,,634.238nullnull,,,,,,,,novacoin,nvc
135,2010/11/29,8827nullnull,469nullnull,6867nullnull,900nullnull,,,245nullnull,1200902nullnull,19.442nullnull,,611.005nullnull,,,,,,,,novacoin,nvc
136,2010/11/30,13088nullnull,498nullnull,7167nullnull,797nullnull,,,252nullnull,1036117nullnull,28.829nullnull,,564.658nullnull,,,,,,,,novacoin,nvc
137,2010/12/01,12027nullnull,589nullnull,8078nullnull,1109nullnull,,,324nullnull,1035723nullnull,23.491nullnull,,788.479nullnull,,,,,,,,novacoin,nvc
138,2010/12/02,14793nullnull,477nullnull,8078nullnull,812nullnull,,,272nullnull,1147016nullnull,32.159nullnull,,615.58nullnull,,,,,,,,novacoin,nvc
139,2010/12/03,6910nullnull,410nullnull,8078nullnull,881nullnull,,,195nullnull,1192236nullnull,17.995nullnull,,604.603nullnull,,,,,,,,novacoin,nvc
140,2010/12/04,14998nullnull,459nullnull,8078nullnull,729nullnull,,,189nullnull,1096732nullnull,35.879nullnull,,498.55nullnull,,,,,,,,novacoin,nvc
141,2010/12/05,4392nullnull,454nullnull,8078nullnull,695nullnull,,,195nullnull,979869nullnull,10.121nullnull,,408.146nullnull,,,,,,,,novacoin,nvc
142,2010/12/06,20598nullnull,493nullnull,8078nullnull,734nullnull,,,224nullnull,1027841nullnull,44.298nullnull,,421.975nullnull,,,,,,,,novacoin,nvc
143,2010/12/07,18534nullnull,644nullnull,8078nullnull,1142nullnull,,,334nullnull,1025142nullnull,32.346nullnull,,672.054nullnull,,,,,,,,novacoin,nvc
144,2010/12/08,7098nullnull,575nullnull,8078nullnull,903nullnull,,,285nullnull,1152903nullnull,13.571nullnull,,542.458nullnull,,,,,,,,novacoin,nvc
145,2010/12/09,9051nullnull,524nullnull,8228nullnull,835nullnull,,,263nullnull,1028300nullnull,18.623nullnull,,569.915nullnull,,,,,,,,novacoin,nvc
146,2010/12/10,5382nullnull,430nullnull,12252nullnull,636nullnull,,,226nullnull,977448nullnull,14.428nullnull,,623.333nullnull,,,,,,,,novacoin,nvc
147,2010/12/11,17203nullnull,708nullnull,12252nullnull,1070nullnull,,,375nullnull,1045083nullnull,31.278nullnull,,881.874nullnull,,,,,,,,novacoin,nvc
148,2010/12/12,10227nullnull,747nullnull,12252nullnull,1194nullnull,,,472nullnull,1038959nullnull,15.906nullnull,,973.058nullnull,,,,,,,,novacoin,nvc
149,2010/12/13,39314nullnull,766nullnull,12252nullnull,1676nullnull,,,505nullnull,1069970nullnull,60.857nullnull,,1673nullnull,,,,,,,,novacoin,nvc
150,2010/12/14,27659nullnull,794nullnull,12252nullnull,1137nullnull,,,482nullnull,1158192nullnull,42.357nullnull,,953.509nullnull,,,,,,,,novacoin,nvc
