,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
238,,,,,,,,,,,,,,,,,2015/03/06,2,159900,stealthcoin,stealthcoin
239,,,,,,,,,,,,,,,,,2015/03/07,null,159281,stealthcoin,stealthcoin
240,,,,,,,,,,,,,,,,,2015/03/08,null,163955,stealthcoin,stealthcoin
241,,,,,,,,,,,,,,,,,2015/03/09,null,168015,stealthcoin,stealthcoin
242,,,,,,,,,,,,,,,,,2015/03/10,null,166794,stealthcoin,stealthcoin
243,,,,,,,,,,,,,,,,,2015/03/11,null,171675,stealthcoin,stealthcoin
244,,,,,,,,,,,,,,,,,2015/03/12,null,173762,stealthcoin,stealthcoin
245,,,,,,,,,,,,,,,,,2015/03/13,null,150817,stealthcoin,stealthcoin
246,,,,,,,,,,,,,,,,,2015/03/14,null,148310,stealthcoin,stealthcoin
247,,,,,,,,,,,,,,,,,2015/03/15,null,null,stealthcoin,stealthcoin
248,,,,,,,,,,,,,,,,,2015/03/16,null,null,stealthcoin,stealthcoin
249,,,,,,,,,,,,,,,,,2015/03/17,null,null,stealthcoin,stealthcoin
250,,,,,,,,,,,,,,,,,2015/03/18,null,145172,stealthcoin,stealthcoin
251,,,,,,,,,,,,,,,,,2015/03/19,null,129954,stealthcoin,stealthcoin
252,,,,,,,,,,,,,,,,,2015/03/20,3,134558,stealthcoin,stealthcoin
253,,,,,,,,,,,,,,,,,2015/03/21,null,128131,stealthcoin,stealthcoin
254,,,,,,,,,,,,,,,,,2015/03/22,null,136881,stealthcoin,stealthcoin
255,,,,,,,,,,,,,,,,,2015/03/23,1,137322,stealthcoin,stealthcoin
256,,,,,,,,,,,,,,,,,2015/03/24,null,null,stealthcoin,stealthcoin
257,,,,,,,,,,,,,,,,,2015/03/25,null,114446,stealthcoin,stealthcoin
258,,,,,,,,,,,,,,,,,2015/03/26,null,116227,stealthcoin,stealthcoin
259,,,,,,,,,,,,,,,,,2015/03/27,null,118541,stealthcoin,stealthcoin
260,,,,,,,,,,,,,,,,,2015/03/28,1,120084,stealthcoin,stealthcoin
261,,,,,,,,,,,,,,,,,2015/03/29,null,110533,stealthcoin,stealthcoin
262,,,,,,,,,,,,,,,,,2015/03/30,null,96962,stealthcoin,stealthcoin
263,,,,,,,,,,,,,,,,,2015/03/31,null,94779,stealthcoin,stealthcoin
264,,,,,,,,,,,,,,,,,2015/04/01,1,97995,stealthcoin,stealthcoin
265,,,,,,,,,,,,,,,,,2015/04/02,null,107899,stealthcoin,stealthcoin
266,,,,,,,,,,,,,,,,,2015/04/03,null,119795,stealthcoin,stealthcoin
267,,,,,,,,,,,,,,,,,2015/04/04,null,113608,stealthcoin,stealthcoin
268,,,,,,,,,,,,,,,,,2015/04/05,2,109129,stealthcoin,stealthcoin
269,,,,,,,,,,,,,,,,,2015/04/06,null,121598,stealthcoin,stealthcoin
270,,,,,,,,,,,,,,,,,2015/04/07,null,104702,stealthcoin,stealthcoin
271,,,,,,,,,,,,,,,,,2015/04/08,4,98952,stealthcoin,stealthcoin
272,,,,,,,,,,,,,,,,,2015/04/09,1,96333,stealthcoin,stealthcoin
273,,,,,,,,,,,,,,,,,2015/04/10,null,89352,stealthcoin,stealthcoin
274,,,,,,,,,,,,,,,,,2015/04/11,3,88422,stealthcoin,stealthcoin
275,,,,,,,,,,,,,,,,,2015/04/12,null,91384,stealthcoin,stealthcoin
276,,,,,,,,,,,,,,,,,2015/04/13,null,83477,stealthcoin,stealthcoin
277,,,,,,,,,,,,,,,,,2015/04/14,null,78687,stealthcoin,stealthcoin
278,,,,,,,,,,,,,,,,,2015/04/15,null,79623,stealthcoin,stealthcoin
279,,,,,,,,,,,,,,,,,2015/04/16,null,97149,stealthcoin,stealthcoin
280,,,,,,,,,,,,,,,,,2015/04/17,4,80317,stealthcoin,stealthcoin
281,,,,,,,,,,,,,,,,,2015/04/18,1,72482,stealthcoin,stealthcoin
282,,,,,,,,,,,,,,,,,2015/04/19,159,75010,stealthcoin,stealthcoin
283,,,,,,,,,,,,,,,,,2015/04/20,1,74726,stealthcoin,stealthcoin
284,,,,,,,,,,,,,,,,,2015/04/21,null,74638,stealthcoin,stealthcoin
285,,,,,,,,,,,,,,,,,2015/04/22,null,74210,stealthcoin,stealthcoin
286,,,,,,,,,,,,,,,,,2015/04/23,null,75609,stealthcoin,stealthcoin
287,,,,,,,,,,,,,,,,,2015/04/24,null,69879,stealthcoin,stealthcoin
288,,,,,,,,,,,,,,,,,2015/04/25,null,63899,stealthcoin,stealthcoin
289,,,,,,,,,,,,,,,,,2015/04/26,1,67262,stealthcoin,stealthcoin
290,,,,,,,,,,,,,,,,,2015/04/27,2,,stealthcoin,stealthcoin
291,,,,,,,,,,,,,,,,,2015/04/28,null,,stealthcoin,stealthcoin
