,date,block_size,transactions,sent_addresses,difficulty,median_transaction_size,top_100_percent,av_transaction_value,av_transaction_size,send_usd,median_transaction_value,market_cap,active_addresses,google_trends,mining_profitability,fee_reward,hashrate,confirmation_time,tweets,full_name,coin
249,2009/09/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
