,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
249,,,,,,,,,,,,,,,,,2015/01/19,null,,savecoin,savecoin
250,,,,,,,,,,,,,,,,,2015/01/20,null,,savecoin,savecoin
251,,,,,,,,,,,,,,,,,2015/01/21,null,,savecoin,savecoin
252,,,,,,,,,,,,,,,,,2015/01/22,null,,savecoin,savecoin
253,,,,,,,,,,,,,,,,,2015/01/23,null,,savecoin,savecoin
254,,,,,,,,,,,,,,,,,2015/01/24,null,,savecoin,savecoin
255,,,,,,,,,,,,,,,,,2015/01/25,null,,savecoin,savecoin
256,,,,,,,,,,,,,,,,,2015/01/26,null,,savecoin,savecoin
257,,,,,,,,,,,,,,,,,2015/01/27,null,,savecoin,savecoin
258,,,,,,,,,,,,,,,,,2015/01/28,null,,savecoin,savecoin
259,,,,,,,,,,,,,,,,,2015/01/29,null,,savecoin,savecoin
260,,,,,,,,,,,,,,,,,2015/01/30,null,,savecoin,savecoin
261,,,,,,,,,,,,,,,,,2015/01/31,null,,savecoin,savecoin
262,,,,,,,,,,,,,,,,,2015/02/01,null,,savecoin,savecoin
263,,,,,,,,,,,,,,,,,2015/02/02,null,,savecoin,savecoin
264,,,,,,,,,,,,,,,,,2015/02/03,null,,savecoin,savecoin
265,,,,,,,,,,,,,,,,,2015/02/04,null,,savecoin,savecoin
266,,,,,,,,,,,,,,,,,2015/02/05,null,,savecoin,savecoin
267,,,,,,,,,,,,,,,,,2015/02/06,null,,savecoin,savecoin
268,,,,,,,,,,,,,,,,,2015/02/07,null,,savecoin,savecoin
269,,,,,,,,,,,,,,,,,2015/02/08,null,,savecoin,savecoin
270,,,,,,,,,,,,,,,,,2015/02/09,null,,savecoin,savecoin
271,,,,,,,,,,,,,,,,,2015/02/10,null,,savecoin,savecoin
272,,,,,,,,,,,,,,,,,2015/02/11,null,,savecoin,savecoin
273,,,,,,,,,,,,,,,,,2015/02/12,null,,savecoin,savecoin
274,,,,,,,,,,,,,,,,,2015/02/13,null,,savecoin,savecoin
275,,,,,,,,,,,,,,,,,2015/02/14,null,,savecoin,savecoin
276,,,,,,,,,,,,,,,,,2015/02/15,null,,savecoin,savecoin
277,,,,,,,,,,,,,,,,,2015/02/16,null,,savecoin,savecoin
278,,,,,,,,,,,,,,,,,2015/02/17,null,,savecoin,savecoin
279,,,,,,,,,,,,,,,,,2015/02/18,null,,savecoin,savecoin
280,,,,,,,,,,,,,,,,,2015/02/19,null,,savecoin,savecoin
281,,,,,,,,,,,,,,,,,2015/02/20,null,,savecoin,savecoin
282,,,,,,,,,,,,,,,,,2015/02/21,null,,savecoin,savecoin
283,,,,,,,,,,,,,,,,,2015/02/22,null,,savecoin,savecoin
284,,,,,,,,,,,,,,,,,2015/02/23,null,,savecoin,savecoin
285,,,,,,,,,,,,,,,,,2015/02/24,null,,savecoin,savecoin
286,,,,,,,,,,,,,,,,,2015/02/25,null,,savecoin,savecoin
287,,,,,,,,,,,,,,,,,2015/02/26,null,,savecoin,savecoin
288,,,,,,,,,,,,,,,,,2015/02/27,null,,savecoin,savecoin
289,,,,,,,,,,,,,,,,,2015/02/28,null,,savecoin,savecoin
290,,,,,,,,,,,,,,,,,2015/03/01,null,,savecoin,savecoin
291,,,,,,,,,,,,,,,,,2015/03/02,null,,savecoin,savecoin
292,,,,,,,,,,,,,,,,,2015/03/03,null,,savecoin,savecoin
293,,,,,,,,,,,,,,,,,2015/03/04,null,,savecoin,savecoin
294,,,,,,,,,,,,,,,,,2015/03/05,null,,savecoin,savecoin
295,,,,,,,,,,,,,,,,,2015/03/06,null,,savecoin,savecoin
296,,,,,,,,,,,,,,,,,2015/03/07,null,,savecoin,savecoin
297,,,,,,,,,,,,,,,,,2015/03/08,null,,savecoin,savecoin
298,,,,,,,,,,,,,,,,,2015/03/09,null,,savecoin,savecoin
299,,,,,,,,,,,,,,,,,2015/03/10,null,,savecoin,savecoin
300,,,,,,,,,,,,,,,,,2015/03/11,null,,savecoin,savecoin
301,,,,,,,,,,,,,,,,,2015/03/12,null,,savecoin,savecoin
302,,,,,,,,,,,,,,,,,2015/03/13,null,,savecoin,savecoin
303,,,,,,,,,,,,,,,,,2015/03/14,null,,savecoin,savecoin
304,,,,,,,,,,,,,,,,,2015/03/15,null,,savecoin,savecoin
305,,,,,,,,,,,,,,,,,2015/03/16,null,,savecoin,savecoin
306,,,,,,,,,,,,,,,,,2015/03/17,null,,savecoin,savecoin
307,,,,,,,,,,,,,,,,,2015/03/18,null,,savecoin,savecoin
308,,,,,,,,,,,,,,,,,2015/03/19,null,,savecoin,savecoin
309,,,,,,,,,,,,,,,,,2015/03/20,null,,savecoin,savecoin
310,,,,,,,,,,,,,,,,,2015/03/21,null,,savecoin,savecoin
311,,,,,,,,,,,,,,,,,2015/03/22,null,,savecoin,savecoin
312,,,,,,,,,,,,,,,,,2015/03/23,null,,savecoin,savecoin
313,,,,,,,,,,,,,,,,,2015/03/24,null,,savecoin,savecoin
314,,,,,,,,,,,,,,,,,2015/03/25,null,,savecoin,savecoin
315,,,,,,,,,,,,,,,,,2015/03/26,null,,savecoin,savecoin
