,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
180,,,,,,,,,,,,,,,,,2014/11/27,125,451257,vericoin,vericoin
181,,,,,,,,,,,,,,,,,2014/11/28,73,457637,vericoin,vericoin
182,,,,,,,,,,,,,,,,,2014/11/29,56,443881,vericoin,vericoin
183,,,,,,,,,,,,,,,,,2014/11/30,13,428514,vericoin,vericoin
184,,,,,,,,,,,,,,,,,2014/12/01,34,413689,vericoin,vericoin
185,,,,,,,,,,,,,,,,,2014/12/02,44,417690,vericoin,vericoin
186,,,,,,,,,,,,,,,,,2014/12/03,38,431621,vericoin,vericoin
187,,,,,,,,,,,,,,,,,2014/12/04,41,389479,vericoin,vericoin
188,,,,,,,,,,,,,,,,,2014/12/05,59,387226,vericoin,vericoin
189,,,,,,,,,,,,,,,,,2014/12/06,37,400332,vericoin,vericoin
190,,,,,,,,,,,,,,,,,2014/12/07,37,384506,vericoin,vericoin
191,,,,,,,,,,,,,,,,,2014/12/08,33,391490,vericoin,vericoin
192,,,,,,,,,,,,,,,,,2014/12/09,38,374831,vericoin,vericoin
193,,,,,,,,,,,,,,,,,2014/12/10,30,357064,vericoin,vericoin
194,,,,,,,,,,,,,,,,,2014/12/11,27,365704,vericoin,vericoin
195,,,,,,,,,,,,,,,,,2014/12/12,23,355460,vericoin,vericoin
196,,,,,,,,,,,,,,,,,2014/12/13,15,355326,vericoin,vericoin
197,,,,,,,,,,,,,,,,,2014/12/14,64,362470,vericoin,vericoin
198,,,,,,,,,,,,,,,,,2014/12/15,47,354599,vericoin,vericoin
199,,,,,,,,,,,,,,,,,2014/12/16,63,320402,vericoin,vericoin
200,,,,,,,,,,,,,,,,,2014/12/17,45,301452,vericoin,vericoin
201,,,,,,,,,,,,,,,,,2014/12/18,132,293806,vericoin,vericoin
202,,,,,,,,,,,,,,,,,2014/12/19,11,289870,vericoin,vericoin
203,,,,,,,,,,,,,,,,,2014/12/20,20,307895,vericoin,vericoin
204,,,,,,,,,,,,,,,,,2014/12/21,9,337997,vericoin,vericoin
205,,,,,,,,,,,,,,,,,2014/12/22,26,328823,vericoin,vericoin
206,,,,,,,,,,,,,,,,,2014/12/23,23,326185,vericoin,vericoin
207,,,,,,,,,,,,,,,,,2014/12/24,26,324227,vericoin,vericoin
