,date,block_size,transactions,market_cap,difficulty,median_transaction_value,active_addresses,confirmation_time,av_transaction_size,av_transaction_value,send_usd,median_transaction_size,fee_reward,top_100_percent,hashrate,mining_profitability,google_trends,sent_addresses,tweets,full_name,coin
242,2009/09/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
