,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
199,2009/07/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
200,2009/07/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
201,2009/07/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
202,2009/07/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
203,2009/07/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
204,2009/07/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
205,2009/07/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
206,2009/07/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
207,2009/07/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
208,2009/07/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
209,2009/07/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
210,2009/08/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
211,2009/08/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
212,2009/08/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
213,2009/08/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
214,2009/08/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
215,2009/08/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
216,2009/08/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
217,2009/08/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
218,2009/08/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
219,2009/08/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
220,2009/08/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
221,2009/08/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
222,2009/08/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
223,2009/08/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
224,2009/08/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
225,2009/08/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
226,2009/08/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
227,2009/08/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
228,2009/08/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
229,2009/08/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
230,2009/08/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
231,2009/08/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
232,2009/08/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
233,2009/08/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
234,2009/08/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
235,2009/08/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
236,2009/08/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
237,2009/08/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
238,2009/08/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
239,2009/08/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
240,2009/08/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
241,2009/09/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
242,2009/09/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
243,2009/09/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
244,2009/09/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
245,2009/09/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
246,2009/09/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
247,2009/09/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
248,2009/09/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
249,2009/09/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
250,2009/09/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
251,2009/09/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
252,2009/09/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
253,2009/09/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
254,2009/09/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
255,2009/09/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
256,2009/09/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
257,2009/09/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
258,2009/09/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
259,2009/09/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
260,2009/09/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
261,2009/09/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
262,2009/09/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
263,2009/09/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
264,2009/09/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
265,2009/09/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
266,2009/09/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
267,2009/09/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
