,date,block_size,sent_addresses,fee_reward,difficulty,median_transaction_value,google_trends,av_transaction_value,send_usd,top_100_percent,confirmation_time,median_transaction_size,mining_profitability,active_addresses,hashrate,market_cap,transactions,tweets,av_transaction_size,full_name,coin
215,2009/08/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
