,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
283,2011/04/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
284,2011/04/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
285,2011/04/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
286,2011/04/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
287,2011/04/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
288,2011/05/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
289,2011/05/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
290,2011/05/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
291,2011/05/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
292,2011/05/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
293,2011/05/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
294,2011/05/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
295,2011/05/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
296,2011/05/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
297,2011/05/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
298,2011/05/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
299,2011/05/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
300,2011/05/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
301,2011/05/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
302,2011/05/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
303,2011/05/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
304,2011/05/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
305,2011/05/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
306,2011/05/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
307,2011/05/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
308,2011/05/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
