,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
253,2009/09/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
254,2009/09/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
255,2009/09/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
256,2009/09/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
257,2009/09/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
258,2009/09/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
259,2009/09/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
260,2009/09/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
261,2009/09/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
262,2009/09/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
263,2009/09/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
264,2009/09/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
265,2009/10/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
266,2009/10/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
267,2009/10/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
268,2009/10/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
269,2009/10/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
270,2009/10/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
271,2009/10/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
272,2009/10/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
273,2009/10/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
274,2009/10/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
275,2009/10/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
276,2009/10/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
277,2009/10/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
278,2009/10/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
279,2009/10/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
280,2009/10/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
281,2009/10/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
282,2009/10/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
283,2009/10/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
