,date,sent_addresses,difficulty,av_transaction_value,median_transaction_value,av_transaction_size,transactions,mining_profitability,send_usd,market_cap,active_addresses,confirmation_time,block_size,median_transaction_size,tweets,top_100_percent,hashrate,google_trends,fee_reward,full_name,coin
151,2014/05/08,21698,745.517,265.056,8.76,,14697,1493,3852723,35077317,,1.092,7548,,4047,,48872165148,1.338,,dogecoin,doge
152,2014/05/09,23021,753.465,249.924,6.071,,16134,1446,3833120,35996486,,1.087,13283,,5589,,50088607209,1.515,,dogecoin,doge
153,2014/05/10,21130,731.686,401.393,8.216,,16699,1514,6667651,36337043,,1.064,10591,,3137,,49003738127,1.182,,dogecoin,doge
154,2014/05/11,24250,725.035,224.766,4.732,,19611,1326,4388679,35032548,,1.111,8749,,5503,,47965810072,1.08,,dogecoin,doge
155,2014/05/12,23059,725.432,244.983,6.442,,17406,1294,4180340,34307697,,1.102,17966,,5930,,47678221022,1.029,,dogecoin,doge
156,2014/05/13,21772,711.444,489.085,5.009,,15518,1486,7585112,34328265,,1.074,9418,,5619,,47083833176,1.318,,dogecoin,doge
157,2014/05/14,20836,746.193,775.681,5.464,,14812,1510,11262550,34697951,,1.113,7405,,6559,,49009347915,1.076,,dogecoin,doge
158,2014/05/15,21425,749.776,714.758,5.071,,16446,1505,11687752,34538315,,1.112,7590,,7130,,48797852926,1.288,,dogecoin,doge
159,2014/05/16,18921,737.259,540.313,6.459,,12848,1521,6858995,34105666,,1.088,6150,,4689,,48474722939,1.272,,dogecoin,doge
160,2014/05/17,19741,770.136,493.744,8.83,,13277,1446,6554321,34462280,,1.09,6559,,6791,,51184242206,2.459,,dogecoin,doge
161,2014/05/18,19079,784.17,226.447,4.775,,13181,1417,2977118,34475144,,1.107,9884,,5378,,51507085081,2.479,,dogecoin,doge
162,2014/05/19,19540,756.122,367.073,10.535,,13668,1441,5014640,34217158,,1.13,6325,,3527,,48958507843,1.233,,dogecoin,doge
163,2014/05/20,20691,774.992,307.052,4.017,,14320,1433,4385223,34616424,,1.17,7684,,4919,,48512520018,1.278,,dogecoin,doge
164,2014/05/21,18446,772.35,431.873,5.242,,12143,1523,5242456,35391596,,1.14,7508,,4420,,47724606233,1.091,,dogecoin,doge
165,2014/05/22,17977,744.382,704.904,6.367,,12607,1474,8884060,33102950,,1.145,8529,,4311,,47304587824,1.187,,dogecoin,doge
166,2014/05/23,17693,681.854,1618,8.242,,12317,1434,19914988,32528658,,1.131,7331,,4286,,43811960586,1.07,,dogecoin,doge
167,2014/05/24,18038,670.63,673.833,5.007,,13010,1331,8762434,33256063,,1.176,6080,,3498,,41894111080,0.975,,dogecoin,doge
168,2014/05/25,17304,642.087,638.379,7.9,,12343,1666,7864335,31147075,,1.158,7171,,2660,,39434017010,0.96,,dogecoin,doge
169,2014/05/26,16967,621.511,477.907,8.109,,11784,1677,5588184,31586027,,1.115,6830,,2816,,39642580335,0.843,,dogecoin,doge
170,2014/05/27,20305,677.686,502.86,5.504,,14975,1436,7429988,31280047,,1.149,7033,,4604,,43080542646,1.081,,dogecoin,doge
171,2014/05/28,17082,713.173,327.99,7.173,,12092,1387,3946764,30842838,,1.163,14177,,3750,,44347082628,0.868,,dogecoin,doge
172,2014/05/29,17818,718.198,221.007,5.488,,13948,1371,3066734,30243958,,1.156,14503,,3645,,44293480587,0.753,,dogecoin,doge
173,2014/05/30,16754,690.659,627.522,4.628,,14110,1334,8838562,27915089,,1.147,8522,,3460,,43849631693,0.909,,dogecoin,doge
174,2014/05/31,15800,648.143,473.981,4.18,,12265,1319,5787867,26588858,,1.174,7515,,3134,,39924545295,0.767,,dogecoin,doge
175,2014/06/01,16434,669.27,471.041,2.027,,14641,1423,6851745,31761141,,1.128,9866,,3230,,42166137154,1.168,,dogecoin,doge
176,2014/06/02,16052,702.892,319.455,3.879,,14199,1410,4531526,31225692,,1.146,7998,,3038,,44585257191,0.861,,dogecoin,doge
177,2014/06/03,18158,721.478,307.775,2.035,,16149,1365,4961660,30675998,,1.144,8506,,4164,,45515450504,0.84,,dogecoin,doge
178,2014/06/04,20254,699.538,209.721,2.285,,19047,1282,3991044,28831992,,1.157,10079,,4641,,44160589731,0.869,,dogecoin,doge
179,2014/06/05,19640,693.287,261.738,2.76,,16605,1310,4168917,28686507,,1.143,8045,,3479,,43440432306,0.93,,dogecoin,doge
180,2014/06/06,17601,724.898,342.698,3.794,,14583,1245,4992226,28538156,,1.128,8339,,3304,,45899925261,0.886,,dogecoin,doge
181,2014/06/07,18494,776.549,281.943,5.064,,13402,1160,3740326,29074396,,1.146,5587,,2657,,49357790914,0.764,,dogecoin,doge
182,2014/06/08,18639,772.286,271.002,3.704,,15597,1171,4197084,28948315,,1.155,7868,,2984,,48346201293,0.893,,dogecoin,doge
183,2014/06/09,18651,797.746,300.378,3.887,,12986,1111,3894001,28922808,,1.19,7563,,3362,,48703913644,1.115,,dogecoin,doge
184,2014/06/10,19139,800.056,343.195,4.394,,13307,1182,4398497,30501521,,1.116,9890,,3041,,50592107819,0.872,,dogecoin,doge
185,2014/06/11,18959,786.167,449.921,5.268,,13050,1235,5630837,33377015,,1.144,6484,,3015,,50511687536,0.874,,dogecoin,doge
186,2014/06/12,17325,835.849,663.492,4.206,,12237,1195,7985006,31528857,,1.117,7145,,2735,,53048095366,0.776,,dogecoin,doge
187,2014/06/13,18653,815.771,411.734,5.317,,13325,1150,5483654,31476014,,1.161,5366,,2838,,51705751688,0.722,,dogecoin,doge
188,2014/06/14,18129,903.826,306.786,4.751,,12772,1021,3914523,29924636,,1.168,5494,,2194,,55659915297,0.877,,dogecoin,doge
189,2014/06/15,17671,895.26,310.194,3.848,,11511,1008,3553626,29736416,,1.141,5750,,2417,,56665616505,0.853,,dogecoin,doge
190,2014/06/16,18006,937.763,343.349,3.749,,11881,986.38,3891706,29703886,,1.129,5615,,2689,,59219904575,0.682,,dogecoin,doge
191,2014/06/17,17731,946.424,376.797,2.563,,14545,953.176,5428175,29262777,,1.1,7602,,2696,,61279234585,0.828,,dogecoin,doge
192,2014/06/18,18640,932.55,161.294,2.839,,13781,933.745,2219085,29149887,,1.142,6068,,2518,,60101095682,0.858,,dogecoin,doge
193,2014/06/19,19342,971.607,156.142,2.648,,16112,924.003,2503697,29210224,,1.115,7385,,2696,,62183457057,0.95,,dogecoin,doge
194,2014/06/20,17376,955.58,128.468,3.457,,12615,921.399,1577372,28736690,,1.097,6216,,2874,,62339524842,0.759,,dogecoin,doge
195,2014/06/21,16771,890.065,127.35,3.4,,10964,954.479,1376017,28391774,,1.125,5214,,1884,,57815964769,0.628,,dogecoin,doge
