,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
243,,,,,,,,,,,,,2014/12/09,,,,,1,,execoin,execoin
244,,,,,,,,,,,,,2014/12/10,,,,,2,,execoin,execoin
245,,,,,,,,,,,,,2014/12/11,,,,,2,,execoin,execoin
246,,,,,,,,,,,,,2014/12/12,,,,,1,,execoin,execoin
247,,,,,,,,,,,,,2014/12/13,,,,,null,,execoin,execoin
248,,,,,,,,,,,,,2014/12/14,,,,,null,,execoin,execoin
249,,,,,,,,,,,,,2014/12/15,,,,,null,,execoin,execoin
250,,,,,,,,,,,,,2014/12/16,,,,,1,,execoin,execoin
251,,,,,,,,,,,,,2014/12/17,,,,,1,,execoin,execoin
252,,,,,,,,,,,,,2014/12/18,,,,,null,,execoin,execoin
253,,,,,,,,,,,,,2014/12/19,,,,,null,,execoin,execoin
254,,,,,,,,,,,,,2014/12/20,,,,,1,,execoin,execoin
255,,,,,,,,,,,,,2014/12/21,,,,,null,,execoin,execoin
256,,,,,,,,,,,,,2014/12/22,,,,,null,,execoin,execoin
257,,,,,,,,,,,,,2014/12/23,,,,,1,,execoin,execoin
258,,,,,,,,,,,,,2014/12/24,,,,,null,,execoin,execoin
259,,,,,,,,,,,,,2014/12/25,,,,,2,,execoin,execoin
260,,,,,,,,,,,,,2014/12/26,,,,,1,,execoin,execoin
261,,,,,,,,,,,,,2014/12/27,,,,,2,,execoin,execoin
262,,,,,,,,,,,,,2014/12/28,,,,,null,,execoin,execoin
263,,,,,,,,,,,,,2014/12/29,,,,,null,,execoin,execoin
264,,,,,,,,,,,,,2014/12/30,,,,,2,,execoin,execoin
265,,,,,,,,,,,,,2014/12/31,,,,,1,,execoin,execoin
266,,,,,,,,,,,,,2015/01/01,,,,,1,,execoin,execoin
267,,,,,,,,,,,,,2015/01/02,,,,,null,,execoin,execoin
268,,,,,,,,,,,,,2015/01/03,,,,,null,,execoin,execoin
269,,,,,,,,,,,,,2015/01/04,,,,,null,,execoin,execoin
270,,,,,,,,,,,,,2015/01/05,,,,,null,,execoin,execoin
271,,,,,,,,,,,,,2015/01/06,,,,,2,,execoin,execoin
272,,,,,,,,,,,,,2015/01/07,,,,,1,,execoin,execoin
273,,,,,,,,,,,,,2015/01/08,,,,,null,,execoin,execoin
274,,,,,,,,,,,,,2015/01/09,,,,,null,,execoin,execoin
275,,,,,,,,,,,,,2015/01/10,,,,,null,,execoin,execoin
276,,,,,,,,,,,,,2015/01/11,,,,,null,,execoin,execoin
277,,,,,,,,,,,,,2015/01/12,,,,,null,,execoin,execoin
278,,,,,,,,,,,,,2015/01/13,,,,,null,,execoin,execoin
279,,,,,,,,,,,,,2015/01/14,,,,,null,,execoin,execoin
280,,,,,,,,,,,,,2015/01/15,,,,,null,,execoin,execoin
281,,,,,,,,,,,,,2015/01/16,,,,,null,,execoin,execoin
282,,,,,,,,,,,,,2015/01/17,,,,,null,,execoin,execoin
283,,,,,,,,,,,,,2015/01/18,,,,,null,,execoin,execoin
284,,,,,,,,,,,,,2015/01/19,,,,,null,,execoin,execoin
285,,,,,,,,,,,,,2015/01/20,,,,,null,,execoin,execoin
286,,,,,,,,,,,,,2015/01/21,,,,,null,,execoin,execoin
287,,,,,,,,,,,,,2015/01/22,,,,,null,,execoin,execoin
288,,,,,,,,,,,,,2015/01/23,,,,,null,,execoin,execoin
289,,,,,,,,,,,,,2015/01/24,,,,,null,,execoin,execoin
290,,,,,,,,,,,,,2015/01/25,,,,,null,,execoin,execoin
291,,,,,,,,,,,,,2015/01/26,,,,,null,,execoin,execoin
292,,,,,,,,,,,,,2015/01/27,,,,,null,,execoin,execoin
293,,,,,,,,,,,,,2015/01/28,,,,,null,,execoin,execoin
294,,,,,,,,,,,,,2015/01/29,,,,,null,,execoin,execoin
295,,,,,,,,,,,,,2015/01/30,,,,,null,,execoin,execoin
