,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
161,,,,,,,,2014/12/29,20,,,,,,,,,,651889,viacoin,viacoin
162,,,,,,,,2014/12/30,18,,,,,,,,,,613351,viacoin,viacoin
163,,,,,,,,2014/12/31,null,,,,,,,,,,547938,viacoin,viacoin
164,,,,,,,,2015/01/01,2,,,,,,,,,,490830,viacoin,viacoin
165,,,,,,,,2015/01/02,null,,,,,,,,,,483384,viacoin,viacoin
166,,,,,,,,2015/01/03,null,,,,,,,,,,459426,viacoin,viacoin
167,,,,,,,,2015/01/04,null,,,,,,,,,,432919,viacoin,viacoin
168,,,,,,,,2015/01/05,13,,,,,,,,,,439171,viacoin,viacoin
169,,,,,,,,2015/01/06,2,,,,,,,,,,477222,viacoin,viacoin
170,,,,,,,,2015/01/07,11,,,,,,,,,,534221,viacoin,viacoin
171,,,,,,,,2015/01/08,4,,,,,,,,,,558956,viacoin,viacoin
172,,,,,,,,2015/01/09,1,,,,,,,,,,527748,viacoin,viacoin
173,,,,,,,,2015/01/10,8,,,,,,,,,,459003,viacoin,viacoin
174,,,,,,,,2015/01/11,7,,,,,,,,,,418089,viacoin,viacoin
175,,,,,,,,2015/01/12,2,,,,,,,,,,401363,viacoin,viacoin
176,,,,,,,,2015/01/13,4,,,,,,,,,,,viacoin,viacoin
177,,,,,,,,2015/01/14,1,,,,,,,,,,,viacoin,viacoin
178,,,,,,,,2015/01/15,null,,,,,,,,,,,viacoin,viacoin
179,,,,,,,,2015/01/16,null,,,,,,,,,,,viacoin,viacoin
180,,,,,,,,2015/01/17,1,,,,,,,,,,,viacoin,viacoin
181,,,,,,,,2015/01/18,1,,,,,,,,,,,viacoin,viacoin
182,,,,,,,,2015/01/19,null,,,,,,,,,,,viacoin,viacoin
183,,,,,,,,2015/01/20,null,,,,,,,,,,,viacoin,viacoin
184,,,,,,,,2015/01/21,null,,,,,,,,,,,viacoin,viacoin
185,,,,,,,,2015/01/22,null,,,,,,,,,,,viacoin,viacoin
186,,,,,,,,2015/01/23,1,,,,,,,,,,,viacoin,viacoin
187,,,,,,,,2015/01/24,1,,,,,,,,,,,viacoin,viacoin
188,,,,,,,,2015/01/25,null,,,,,,,,,,,viacoin,viacoin
189,,,,,,,,2015/01/26,null,,,,,,,,,,,viacoin,viacoin
190,,,,,,,,2015/01/27,null,,,,,,,,,,,viacoin,viacoin
191,,,,,,,,2015/01/28,null,,,,,,,,,,,viacoin,viacoin
192,,,,,,,,2015/01/29,null,,,,,,,,,,,viacoin,viacoin
193,,,,,,,,2015/01/30,1,,,,,,,,,,,viacoin,viacoin
194,,,,,,,,2015/01/31,1,,,,,,,,,,,viacoin,viacoin
195,,,,,,,,2015/02/01,null,,,,,,,,,,,viacoin,viacoin
196,,,,,,,,2015/02/02,null,,,,,,,,,,,viacoin,viacoin
197,,,,,,,,2015/02/03,null,,,,,,,,,,,viacoin,viacoin
198,,,,,,,,2015/02/04,null,,,,,,,,,,,viacoin,viacoin
199,,,,,,,,2015/02/05,null,,,,,,,,,,,viacoin,viacoin
200,,,,,,,,2015/02/06,1,,,,,,,,,,,viacoin,viacoin
201,,,,,,,,2015/02/07,null,,,,,,,,,,,viacoin,viacoin
202,,,,,,,,2015/02/08,6,,,,,,,,,,,viacoin,viacoin
203,,,,,,,,2015/02/09,7,,,,,,,,,,,viacoin,viacoin
204,,,,,,,,2015/02/10,20,,,,,,,,,,,viacoin,viacoin
205,,,,,,,,2015/02/11,3,,,,,,,,,,,viacoin,viacoin
206,,,,,,,,2015/02/12,null,,,,,,,,,,,viacoin,viacoin
207,,,,,,,,2015/02/13,3,,,,,,,,,,,viacoin,viacoin
208,,,,,,,,2015/02/14,3,,,,,,,,,,,viacoin,viacoin
209,,,,,,,,2015/02/15,null,,,,,,,,,,,viacoin,viacoin
210,,,,,,,,2015/02/16,2,,,,,,,,,,,viacoin,viacoin
211,,,,,,,,2015/02/17,3,,,,,,,,,,,viacoin,viacoin
212,,,,,,,,2015/02/18,3,,,,,,,,,,,viacoin,viacoin
213,,,,,,,,2015/02/19,4,,,,,,,,,,,viacoin,viacoin
214,,,,,,,,2015/02/20,null,,,,,,,,,,,viacoin,viacoin
215,,,,,,,,2015/02/21,1,,,,,,,,,,,viacoin,viacoin
216,,,,,,,,2015/02/22,2,,,,,,,,,,,viacoin,viacoin
217,,,,,,,,2015/02/23,1,,,,,,,,,,,viacoin,viacoin
218,,,,,,,,2015/02/24,3,,,,,,,,,,,viacoin,viacoin
219,,,,,,,,2015/02/25,5,,,,,,,,,,,viacoin,viacoin
220,,,,,,,,2015/02/26,1,,,,,,,,,,,viacoin,viacoin
221,,,,,,,,2015/02/27,2,,,,,,,,,,,viacoin,viacoin
222,,,,,,,,2015/02/28,1,,,,,,,,,,,viacoin,viacoin
223,,,,,,,,2015/03/01,null,,,,,,,,,,,viacoin,viacoin
224,,,,,,,,2015/03/02,null,,,,,,,,,,,viacoin,viacoin
225,,,,,,,,2015/03/03,2,,,,,,,,,,,viacoin,viacoin
226,,,,,,,,2015/03/04,4,,,,,,,,,,,viacoin,viacoin
227,,,,,,,,2015/03/05,null,,,,,,,,,,,viacoin,viacoin
228,,,,,,,,2015/03/06,5,,,,,,,,,,,viacoin,viacoin
229,,,,,,,,2015/03/07,null,,,,,,,,,,,viacoin,viacoin
230,,,,,,,,2015/03/08,2,,,,,,,,,,,viacoin,viacoin
231,,,,,,,,2015/03/09,3,,,,,,,,,,,viacoin,viacoin
232,,,,,,,,2015/03/10,7,,,,,,,,,,,viacoin,viacoin
233,,,,,,,,2015/03/11,30,,,,,,,,,,,viacoin,viacoin
234,,,,,,,,2015/03/12,19,,,,,,,,,,,viacoin,viacoin
235,,,,,,,,2015/03/13,11,,,,,,,,,,,viacoin,viacoin
236,,,,,,,,2015/03/14,4,,,,,,,,,,,viacoin,viacoin
237,,,,,,,,2015/03/15,1,,,,,,,,,,,viacoin,viacoin
238,,,,,,,,2015/03/16,null,,,,,,,,,,,viacoin,viacoin
239,,,,,,,,2015/03/17,null,,,,,,,,,,,viacoin,viacoin
240,,,,,,,,2015/03/18,1,,,,,,,,,,,viacoin,viacoin
241,,,,,,,,2015/03/19,1,,,,,,,,,,,viacoin,viacoin
242,,,,,,,,2015/03/20,5,,,,,,,,,,,viacoin,viacoin
243,,,,,,,,2015/03/21,5,,,,,,,,,,,viacoin,viacoin
244,,,,,,,,2015/03/22,2,,,,,,,,,,,viacoin,viacoin
245,,,,,,,,2015/03/23,2,,,,,,,,,,,viacoin,viacoin
246,,,,,,,,2015/03/24,1,,,,,,,,,,,viacoin,viacoin
247,,,,,,,,2015/03/25,10,,,,,,,,,,,viacoin,viacoin
248,,,,,,,,2015/03/26,3,,,,,,,,,,,viacoin,viacoin
249,,,,,,,,2015/03/27,4,,,,,,,,,,,viacoin,viacoin
250,,,,,,,,2015/03/28,12,,,,,,,,,,,viacoin,viacoin
251,,,,,,,,2015/03/29,6,,,,,,,,,,,viacoin,viacoin
252,,,,,,,,2015/03/30,4,,,,,,,,,,,viacoin,viacoin
253,,,,,,,,2015/03/31,4,,,,,,,,,,,viacoin,viacoin
254,,,,,,,,2015/04/01,2,,,,,,,,,,,viacoin,viacoin
255,,,,,,,,2015/04/02,4,,,,,,,,,,,viacoin,viacoin
256,,,,,,,,2015/04/03,null,,,,,,,,,,,viacoin,viacoin
257,,,,,,,,2015/04/04,null,,,,,,,,,,,viacoin,viacoin
258,,,,,,,,2015/04/05,2,,,,,,,,,,,viacoin,viacoin
259,,,,,,,,2015/04/06,null,,,,,,,,,,,viacoin,viacoin
260,,,,,,,,2015/04/07,null,,,,,,,,,,,viacoin,viacoin
261,,,,,,,,2015/04/08,null,,,,,,,,,,,viacoin,viacoin
262,,,,,,,,2015/04/09,2,,,,,,,,,,,viacoin,viacoin
263,,,,,,,,2015/04/10,1,,,,,,,,,,,viacoin,viacoin
264,,,,,,,,2015/04/11,null,,,,,,,,,,,viacoin,viacoin
265,,,,,,,,2015/04/12,2,,,,,,,,,,,viacoin,viacoin
266,,,,,,,,2015/04/13,null,,,,,,,,,,,viacoin,viacoin
267,,,,,,,,2015/04/14,null,,,,,,,,,,,viacoin,viacoin
268,,,,,,,,2015/04/15,null,,,,,,,,,,,viacoin,viacoin
269,,,,,,,,2015/04/16,null,,,,,,,,,,,viacoin,viacoin
270,,,,,,,,2015/04/17,null,,,,,,,,,,,viacoin,viacoin
271,,,,,,,,2015/04/18,null,,,,,,,,,,,viacoin,viacoin
272,,,,,,,,2015/04/19,1,,,,,,,,,,,viacoin,viacoin
273,,,,,,,,2015/04/20,null,,,,,,,,,,,viacoin,viacoin
274,,,,,,,,2015/04/21,null,,,,,,,,,,,viacoin,viacoin
275,,,,,,,,2015/04/22,1,,,,,,,,,,,viacoin,viacoin
276,,,,,,,,2015/04/23,null,,,,,,,,,,,viacoin,viacoin
277,,,,,,,,2015/04/24,null,,,,,,,,,,,viacoin,viacoin
278,,,,,,,,2015/04/25,null,,,,,,,,,,,viacoin,viacoin
279,,,,,,,,2015/04/26,1,,,,,,,,,,,viacoin,viacoin
280,,,,,,,,2015/04/27,2,,,,,,,,,,,viacoin,viacoin
281,,,,,,,,2015/04/28,null,,,,,,,,,,,viacoin,viacoin
282,,,,,,,,2015/04/29,16,,,,,,,,,,,viacoin,viacoin
283,,,,,,,,2015/04/30,6,,,,,,,,,,,viacoin,viacoin
284,,,,,,,,2015/05/01,3,,,,,,,,,,,viacoin,viacoin
285,,,,,,,,2015/05/02,3,,,,,,,,,,,viacoin,viacoin
286,,,,,,,,2015/05/03,1,,,,,,,,,,,viacoin,viacoin
