,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
205,,,,,,,,,,,,,,,2014/10/31,null,,,,einsteinium,einsteinium
206,,,,,,,,,,,,,,,2014/11/01,null,,,,einsteinium,einsteinium
207,,,,,,,,,,,,,,,2014/11/02,null,,,,einsteinium,einsteinium
208,,,,,,,,,,,,,,,2014/11/03,null,,,,einsteinium,einsteinium
209,,,,,,,,,,,,,,,2014/11/04,null,,,,einsteinium,einsteinium
210,,,,,,,,,,,,,,,2014/11/05,null,,,,einsteinium,einsteinium
211,,,,,,,,,,,,,,,2014/11/06,null,,,,einsteinium,einsteinium
212,,,,,,,,,,,,,,,2014/11/07,null,,,,einsteinium,einsteinium
213,,,,,,,,,,,,,,,2014/11/08,2,,,,einsteinium,einsteinium
214,,,,,,,,,,,,,,,2014/11/09,null,,,,einsteinium,einsteinium
215,,,,,,,,,,,,,,,2014/11/10,null,,,,einsteinium,einsteinium
216,,,,,,,,,,,,,,,2014/11/11,2,,,,einsteinium,einsteinium
217,,,,,,,,,,,,,,,2014/11/12,null,,,,einsteinium,einsteinium
218,,,,,,,,,,,,,,,2014/11/13,null,,,,einsteinium,einsteinium
219,,,,,,,,,,,,,,,2014/11/14,5,,,,einsteinium,einsteinium
220,,,,,,,,,,,,,,,2014/11/15,null,,,,einsteinium,einsteinium
221,,,,,,,,,,,,,,,2014/11/16,2,,,,einsteinium,einsteinium
222,,,,,,,,,,,,,,,2014/11/17,1,,,,einsteinium,einsteinium
223,,,,,,,,,,,,,,,2014/11/18,1,,,,einsteinium,einsteinium
224,,,,,,,,,,,,,,,2014/11/19,null,,,,einsteinium,einsteinium
225,,,,,,,,,,,,,,,2014/11/20,null,,,,einsteinium,einsteinium
226,,,,,,,,,,,,,,,2014/11/21,4,,,,einsteinium,einsteinium
227,,,,,,,,,,,,,,,2014/11/22,null,,,,einsteinium,einsteinium
228,,,,,,,,,,,,,,,2014/11/23,1,,,,einsteinium,einsteinium
229,,,,,,,,,,,,,,,2014/11/24,1,,,,einsteinium,einsteinium
230,,,,,,,,,,,,,,,2014/11/25,null,,,,einsteinium,einsteinium
231,,,,,,,,,,,,,,,2014/11/26,null,,,,einsteinium,einsteinium
232,,,,,,,,,,,,,,,2014/11/27,2,,,,einsteinium,einsteinium
233,,,,,,,,,,,,,,,2014/11/28,null,,,,einsteinium,einsteinium
234,,,,,,,,,,,,,,,2014/11/29,null,,,,einsteinium,einsteinium
235,,,,,,,,,,,,,,,2014/11/30,1,,,,einsteinium,einsteinium
236,,,,,,,,,,,,,,,2014/12/01,1,,,,einsteinium,einsteinium
237,,,,,,,,,,,,,,,2014/12/02,null,,,,einsteinium,einsteinium
238,,,,,,,,,,,,,,,2014/12/03,null,,,,einsteinium,einsteinium
239,,,,,,,,,,,,,,,2014/12/04,null,,,,einsteinium,einsteinium
240,,,,,,,,,,,,,,,2014/12/05,null,,,,einsteinium,einsteinium
241,,,,,,,,,,,,,,,2014/12/06,3,,,,einsteinium,einsteinium
242,,,,,,,,,,,,,,,2014/12/07,3,,,,einsteinium,einsteinium
243,,,,,,,,,,,,,,,2014/12/08,6,,,,einsteinium,einsteinium
244,,,,,,,,,,,,,,,2014/12/09,12,,,,einsteinium,einsteinium
245,,,,,,,,,,,,,,,2014/12/10,7,,,,einsteinium,einsteinium
246,,,,,,,,,,,,,,,2014/12/11,1,,,,einsteinium,einsteinium
